orig,fm_sketch,hyperloglog,hyperloglog64
1272,512,1982,1526
1273,512,1982,1526
1274,512,1982,1526
1275,512,1982,1526
1276,512,1982,1526
1277,512,1982,1526
1278,512,1982,1526
1279,512,1982,1526
1280,512,1982,1526
1281,512,1982,1526
1282,512,1982,1526
1283,512,1982,1526
1284,512,1982,1526
1285,512,1982,1526
1286,512,1982,1526
1287,512,1982,1526
1288,512,1982,1526
1289,512,1982,1526
1290,512,1982,1526
1291,512,1982,1526
1292,512,1982,1771
1293,512,1982,1771
1294,512,1982,1771
1295,512,1982,1771
1296,512,1982,1771
1297,512,1982,1771
1298,512,1982,1771
1299,512,1982,1771
1300,512,1982,1771
1301,512,1982,1771
1302,512,1982,1771
1303,512,1982,1771
1304,512,1982,1771
1305,512,1982,1771
1306,512,1982,1771
1307,512,1982,1771
1308,512,1982,1771
1309,512,1982,1771
1310,512,1982,1771
1311,512,1982,1771
1312,512,1982,1771
1313,512,1982,1771
1314,512,1982,1771
1315,512,1982,1926
1316,512,1982,1926
1317,512,1982,1926
1318,512,1982,1926
1319,512,1982,1926
1320,512,1982,1926
1321,512,1982,1926
1322,512,1982,1926
1323,512,1982,1926
1324,512,2171,1926
1325,512,2171,1926
1326,512,2171,1926
1327,512,2171,1926
1328,512,2171,1926
1329,512,2171,1926
1330,512,2171,1926
1331,512,2171,1926
1332,512,2171,1926
1333,512,2171,1926
1334,512,2171,1926
1335,512,2171,1926
1336,512,2171,1926
1337,512,2171,1926
1338,512,2171,1926
1339,512,2171,1926
1340,512,2171,1926
1341,512,2171,1926
1342,512,2171,1926
1343,512,2171,1926
1344,512,2171,1926
1345,512,2171,1926
1346,512,2171,1926
1347,512,2171,1926
1348,512,2171,1926
1349,512,2171,1926
1350,512,2171,1926
1351,512,2171,1926
1352,512,2171,1926
1353,512,2171,1926
1354,512,2171,1926
1355,512,2171,1926
1356,512,2171,1926
1357,512,2171,1926
1358,512,2171,1926
1359,512,2171,1926
1360,512,2171,1926
1361,512,2171,1926
1362,512,2171,1926
1363,512,2171,1926
1364,512,2171,1926
1365,512,2171,1926
1366,512,2171,1926
1367,512,2171,1926
1368,512,2171,1926
1369,512,2171,1926
1370,512,2171,1926
1371,512,2171,1926
1372,512,2171,1926
1373,512,2171,1926
1374,512,2171,1926
1375,512,2171,1926
1376,512,2171,1926
1377,512,2171,1926
1378,512,2171,1926
1379,512,2171,1926
1380,512,2171,1926
1381,512,2171,1926
1382,512,2171,1926
1383,512,2171,1926
1384,512,2171,1926
1385,2048,2171,1926
1386,2048,2171,1926
1387,2048,2171,1926
1388,2048,2171,1926
1389,2048,2171,1926
1390,2048,2171,1926
1391,2048,2171,1926
1392,2048,2171,1926
1393,2048,2171,1926
1394,2048,2171,1926
1395,2048,2171,1926
1396,2048,2171,1926
1397,2048,2171,1926
1398,2048,2171,1926
1399,2048,2171,1926
1400,2048,2171,1926
1401,2048,2171,1926
1402,2048,2171,1926
1403,2048,2171,1926
1404,2048,2171,1926
1405,2048,2171,1926
1406,2048,2171,1926
1407,2048,2171,1926
1408,2048,2171,1926
1409,2048,2171,1926
1410,2048,2171,1926
1411,2048,2171,1926
1412,2048,2171,1926
1413,2048,2171,1926
1414,2048,2171,1926
1415,2048,2171,1926
1416,2048,2171,1926
1417,2048,2171,1926
1418,2048,2171,1926
1419,2048,2171,1926
1420,2048,2171,1926
1421,2048,2171,1926
1422,2048,2392,1926
1423,2048,2392,1926
1424,2048,2392,1926
1425,2048,2392,1926
1426,2048,2392,1926
1427,2048,2392,1926
1428,2048,2392,1926
1429,2048,2392,1926
1430,2048,2392,1926
1431,2048,2392,1926
1432,2048,2392,1926
1433,2048,2392,1926
1434,2048,2392,1926
1435,2048,2392,1926
1436,2048,2392,1926
1437,2048,2392,1926
1438,2048,2392,1926
1439,2048,2392,1926
1440,2048,2392,1926
1441,2048,2392,1926
1442,2048,2392,1926
1443,2048,2392,1926
1444,2048,2392,1926
1445,2048,2392,1926
1446,2048,2392,1926
1447,2048,2392,1926
1448,2048,2392,1926
1449,2048,2392,1926
1450,2048,2392,1926
1451,2048,2392,1926
1452,2048,2392,1926
1453,2048,2392,1926
1454,2048,2392,1926
1455,2048,2392,1926
1456,2048,2392,1926
1457,2048,2392,1926
1458,2048,2392,1926
1459,2048,2392,1926
1460,2048,2392,1926
1461,2048,2392,1926
1462,2048,2392,1926
1463,2048,2392,1926
1464,2048,2392,1926
1465,2048,2392,1926
1466,2048,2392,1926
1467,2048,2392,1926
1468,2048,2392,1926
1469,2048,2392,1926
1470,2048,2392,1926
1471,2048,2392,1926
1472,2048,2392,1926
1473,2048,2392,1926
1474,2048,2392,1926
1475,2048,2392,1926
1476,2048,2392,1926
1477,2048,2392,1926
1478,2048,2392,1926
1479,2048,2392,1926
1480,2048,2392,1926
1481,2048,2392,1926
1482,2048,2392,1926
1483,2048,2392,1926
1484,2048,2392,1926
1485,2048,2392,1926
1486,2048,2392,1926
1487,2048,2392,1926
1488,2048,2392,1926
1489,2048,2392,1926
1490,2048,2392,1926
1491,2048,2392,1926
1492,2048,2392,1926
1493,2048,2392,1926
1494,2048,2392,1926
1495,2048,2392,1926
1496,2048,2392,1926
1497,2048,2392,1926
1498,2048,2392,1926
1499,2048,2392,1926
1500,2048,2392,1926
1501,2048,2392,1926
1502,2048,2392,1926
1503,2048,2392,1926
1504,2048,2392,1926
1505,2048,2392,1926
1506,2048,2392,1926
1507,2048,2392,1926
1508,2048,2392,1926
1509,2048,2392,1926
1510,2048,2392,1926
1511,2048,2392,1926
1512,2048,2392,1926
1513,2048,2392,1926
1514,2048,2392,1926
1515,2048,2392,1926
1516,2048,2392,1926
1517,2048,2392,1926
1518,2048,2392,1926
1519,2048,2392,1926
1520,2048,2392,1926
1521,2048,2392,1926
1522,2048,2392,1926
1523,2048,2392,1926
1524,2048,2392,1926
1525,2048,2392,1926
1526,2048,2392,1926
1527,2048,2392,1926
